datediff,longitude,latitude,Mg
1.60 ,121.8,24.2,5.2
0.30 ,122.5,22.5,5.3
0.00 ,122.1,24.4,5.2
0.00 ,122.2,24.3,5.4
2.10 ,122.2,24.4,5.2
0.40 ,121.3,23.9,5.2
0.07 ,121.7,23.8,5.4
1.63 ,121.7,23.3,5
1.77 ,122.3,23.7,5.7
0.03 ,122.5,22.5,5.8
0.73 ,121.5,22.9,5.8
0.17 ,121.1,22.9,5.5
0.27 ,126.2,26.3,6.3
0.60 ,121.1,24.6,6
2.30 ,121.1,22.4,5.3
0.30 ,122.3,24.3,6
2.90 ,121.7,23.7,5
0.63 ,122.3,24.6,5
0.20 ,122.3,24.3,5
0.20 ,120.6,23.1,5.2
0.03 ,122.3,24.3,5.5
0.10 ,122.5,23.7,5
0.43 ,122.3,24.3,5.3
0.13 ,121.7,23.9,5.8
2.70 ,122.6,23.7,5.4
1.00 ,121.6,23.8,5.2
0.27 ,121.6,22.2,5
0.00 ,121.3,23.7,7.3
0.00 ,121.7,23.9,6
0.00 ,121.9,23.6,5.5
0.00 ,121.6,23.8,5.8
0.00 ,121.2,23.7,5.2
0.00 ,121.7,23.8,5.8
0.00 ,121.3,23.8,7.1
0.00 ,121.6,23.6,5.4
0.00 ,121.8,24.1,5.7
0.00 ,121.7,23.7,6.1
0.00 ,121.9,23.6,5.5
0.00 ,121.7,23.9,6.8
0.00 ,121.9,24,6
0.00 ,121.9,24,5.4
0.00 ,121.9,24,5.5
0.00 ,121.7,23.9,6.5
0.00 ,121.7,23.9,6
0.00 ,121.7,23.9,7.1
0.00 ,121.8,23.9,5.4
0.00 ,121.8,23.9,5.2
0.00 ,121.7,23.6,5.5
0.00 ,122.3,23.6,5.5
0.00 ,121.9,24.2,5
0.00 ,121.7,24.1,5.4
0.00 ,121.9,24.2,5.4
0.00 ,121.8,24.1,5.4
0.00 ,121.9,23.9,5.4
0.00 ,121.9,23.7,5.8
0.00 ,122.1,23.5,5.2
0.00 ,122,24.2,5.9
0.00 ,121.9,24.3,5
0.00 ,121.9,23.6,5.5
0.00 ,121.7,23.9,5.8
0.00 ,121.7,23.9,6.5
0.00 ,121.1,24,5.4
0.00 ,122.1,24.2,5.8
0.00 ,121.9,24.2,5.2
0.00 ,122.2,23.7,5.8
0.00 ,122.1,24,5.7
0.00 ,121.8,24.3,5.5
0.00 ,121.7,23.9,6.5
0.00 ,121.9,24.1,5.8
0.00 ,121.7,23.9,6.3
0.00 ,121.8,24.1,5.2
0.00 ,122,23.9,5.4
0.00 ,121.9,24.3,5.2
0.00 ,121.9,23.7,5
0.00 ,121.6,23.9,5.5
0.00 ,121.7,23.9,6
0.00 ,121.9,24.1,5.4
0.03 ,121.7,23.9,6.8
0.00 ,121.7,23.9,6
0.00 ,121.6,23.8,5.2
0.00 ,121.9,24.3,5.7
0.00 ,121.9,24.4,5.7
0.00 ,122.1,23.9,5.2
0.00 ,121.7,23.8,5
0.00 ,121.7,23.9,6
0.00 ,121.7,23.9,5.8
0.00 ,121.7,23.9,6
0.00 ,122.2,24.2,5.2
0.00 ,121.9,24.4,5.4
0.00 ,121.7,23.9,5.5
0.00 ,121.7,23.9,6.5
0.00 ,122.1,23.8,5.2
0.00 ,121.7,23.9,6.5
0.00 ,122,24.1,5
0.00 ,122.1,23.6,5.5
0.00 ,121.7,23.9,5.5
0.03 ,121.9,23.9,5.2
0.00 ,121.7,23.9,5.5
0.00 ,122.4,23.9,5.4
0.00 ,121.7,23.9,6
0.00 ,121.8,24.1,5.2
0.00 ,122.3,24.3,5.7
0.00 ,121.8,24.3,5.5
0.00 ,121.7,23.9,5.5
0.00 ,121.8,23.8,5.4
0.00 ,121.7,23.9,5.4
0.00 ,121.6,24.1,5.2
0.00 ,121.9,23.8,5
0.03 ,121.7,23.9,6
0.00 ,121.9,24.1,5
0.03 ,121.7,23.9,6.8
0.00 ,121.9,23.8,5.4
0.07 ,122.6,22.8,5.4
0.00 ,121.7,23.9,5.8
0.03 ,121.7,24.1,5.2
0.17 ,121.9,23.7,5.2
0.20 ,121.7,23.9,5.5
0.13 ,121.1,24.6,5.5
0.07 ,121.4,23.3,5.2
0.33 ,121.9,23.9,5.2
0.00 ,121.5,22.9,7.5
0.00 ,121.4,23.4,7.3
0.03 ,121.3,23.1,5.4
0.00 ,121.1,23.1,5
0.10 ,121.5,22.9,6.3
0.00 ,120.9,22.8,5.2
0.20 ,121,22.9,5.5
0.00 ,121.9,22.9,5.8
0.23 ,121.5,22.9,6.5
0.43 ,121.4,23.4,5.4
0.23 ,121.7,24.2,5.2
0.33 ,121.6,24.1,5.4
0.57 ,121.7,24.1,5
2.23 ,122.1,23.9,5.4
0.83 ,121.6,23.4,5.5
1.03 ,122.8,25.5,6
0.70 ,121.4,21.9,5.5
0.10 ,121.7,23.9,6.5
1.47 ,122.3,24.3,6
0.17 ,121.6,23.9,5
0.43 ,121.4,23.5,5
1.73 ,121.6,23.9,5.2
0.80 ,122.4,23.8,5.5
0.17 ,120.7,23.8,5.4
0.70 ,121.8,24,5
0.60 ,122.6,24.4,5.7
0.23 ,121.8,24.8,5.2
0.60 ,121.5,22.9,5.3
1.03 ,121.6,24.2,5.5
0.53 ,121.6,22.6,5
0.10 ,121.7,23.9,5.5
0.97 ,123.5,25.3,5
1.97 ,121.5,22.9,5.5
1.43 ,121,22.8,5.3
1.23 ,122.3,24.4,5
2.40 ,121.4,23.5,5.2
3.77 ,122.3,23.3,5.8
1.63 ,120.8,22.9,5
2.63 ,122.2,24.1,5.2
1.53 ,122.2,23.5,5.3
0.63 ,122.2,24.8,5
0.07 ,121.7,21.5,5.5
0.27 ,118.6,22.2,5.3
0.10 ,121.5,21,6
0.53 ,121.8,24.2,6
0.03 ,122,21.8,5.2
0.53 ,121.9,24.9,5.5
4.30 ,120.7,23.8,5.5
0.37 ,122.5,24,5.1
0.27 ,122.8,24,5.5
0.13 ,122.1,24.3,5.5
0.47 ,121.8,23,5.4
0.03 ,121.1,21.8,6.5
0.27 ,120.9,21.8,5.8
1.37 ,121.7,22.6,5
0.40 ,121.8,23.8,5.2
0.30 ,121.4,24.2,6
0.10 ,122.1,23.9,5
0.07 ,121.6,22.3,5.8
0.97 ,121.2,23.3,5.3
0.23 ,121.1,21.1,5.4
1.97 ,122,23.3,5.8
0.00 ,122.5,23.9,6.8
0.07 ,122.3,24,5.2
0.13 ,121.5,22.1,6
0.53 ,121.4,22.4,5.3
0.40 ,121.6,23.8,5.3
0.93 ,122.3,23.9,5.4
0.43 ,122.9,23.8,5.2
2.07 ,122.5,23.6,5.8
4.77 ,122.2,23.8,5.4
0.03 ,120.6,23.6,5
3.87 ,122.5,24.1,5.8
0.30 ,121,23.5,5
1.40 ,122.7,23.9,5.2
1.90 ,121,24,5.3
0.53 ,122.4,24.3,5.5
0.03 ,121.6,23.9,7.2
0.07 ,121.7,23.9,5
0.53 ,121.7,24.1,5.3
0.53 ,122.5,24.5,6
0.20 ,121.8,24.1,5
1.60 ,123,23.7,5
